path	client_id	generated_path	sentence	generated_sentence
common_voice_en_37364201.mp3	2f24fd0456a74cab024b8f38b3a0b9de818b92d95d68b842fc5d3d831ff9f1e207e16672da61767751147e8651724c2a2e795acf9728b1eeff94675e41a3b06a	generated_voice_en_37364201.mp3	our ability to do good things for people.	Metro Transit provides bus service and light rail in the Minneapolis-Saint Paul area.
common_voice_en_37473806.mp3	2fe3062fffe88733138a0e6860a338b4e63dfd5e646ee5bebbc1ee21e3fb087f091f8e22455d37466ef357bab91a4aa3d8077cee97f648c61a94d47a961c1d9c	generated_voice_en_37473806.mp3	The band made some recordings with producer Tom Dowd overseeing, but they were scrapped.	What it was he would not say.
common_voice_en_37506196.mp3	32386834397e468c7f3f2cb79675cb0115bf17694eb0f20a2a4565f89e63898f9e9c5f918a3b14af59f31a2328c5fd5b3913f90da1d33bb4b7ea4a167df5d5ca	generated_voice_en_37506196.mp3	Eventually Koss dominated the headphone market, competing mainly with Telex.	"The neighborhood was considered ""highly diverse"" ethnically within Los Angeles."
common_voice_en_37337192.mp3	3651a029aa971c02f0aca91f7079da828b2c2096e497ed29a154b390e81a45151b68ec840b58e7e0f73440ed4fa68e76447bdbf7909119144143e4a7ca3b453a	generated_voice_en_37337192.mp3	The pass is notable as inspiration of a C. W. McCall song.	For further discussion, see figurae.
common_voice_en_37872291.mp3	3873dd5c522d232a2ac59cb0e36b94ab0536f9f80553b1f8d6306bc7a726cc1392b8822f437549673702ffde0277331670e2abe6cc455bce0834e81214582902	generated_voice_en_37872291.mp3	It is the largest cable company in Iowa and second largest in Illinois.	Wingate to intercept him.
common_voice_en_37472473.mp3	3d7565f589ff9e4442e38442c7d6334aa5008356d390c819e8c9bcbe4b92683c71f07913f73c6b40b9a2c6ab2565ed632faabd60ff7640df758a82af1fc39c89	generated_voice_en_37472473.mp3	These eggs are buried in soil for protection.	They roll weights representing their wealth, constantly colliding and quarreling.
common_voice_en_37673682.mp3	3ec684f06d72aa5a25b0ae322389a241c4b686ae5052455ca8d775e7e1f496af5c3a1209e42a95b936c9b3abf680cbd3b7233ad12e8fe760d473f445e78ed65a	generated_voice_en_37673682.mp3	Different systems define different sets of digraphs and trigraphs, as described below.	This rapid rebuilding was expensive, indicating that Elburg was reasonably affluent in medieval times.
common_voice_en_37803161.mp3	3ee87767b4fe7506916b3408432877dae498df2d0e0f8f8f1e3052e38fef0fc6fcf09e7e64e9a9a8fcfd83cb063f80061d28f6a9eba4e650d579f5d6a6751f8f	generated_voice_en_37803161.mp3	Erogenous zones may be classified by the type of sexual response that they generate.	The final turns into a nightmare for Real Madrid after this.
common_voice_en_37422019.mp3	3fa8caae0f0704506e7a754af9851a4f94781c7722197085e2a96dc9228c81f5ecc6e0c07e36bfc9248369b04e9beaa70fdeedb6e7efd6206bf87e60d32cacb4	generated_voice_en_37422019.mp3	Hence, C naturally prefers to invoke the jurisdiction of State Y's courts.	In the event of failure the backup D channel takes over the signaling.
common_voice_en_37633576.mp3	41572781186e21e849c8741cf47da789c9916034b2e4fc69d7fed7d4e8adeb4332fd8e89b3e64adadfffdceca38de6d96aabf020a3fc2df94fd115bcdb3b379c	generated_voice_en_37633576.mp3	Other reported side-effects were angina and Stevens-Johnson syndrome.	Diego Garcia lies within the influence of the South Equatorial current year-round.
common_voice_en_37547701.mp3	41bede29633de475568348f885895b4ccf07400a77505f841f7b52d5173a178afac53e7b02c595a9641e06b8af65d92ee280255bd6ac6766b2e403207197a745	generated_voice_en_37547701.mp3	Young then left the band to go back to university.	He played college football at Alabama State.
common_voice_en_37382181.mp3	4214da19c093b5f76a9c2b4622c040687ed94e94b9965007caac31518e916acad1c1a3a4b1df70c351f45b6ba2ddba8f72628f56964b1bbf2a6c17b18cce4d53	generated_voice_en_37382181.mp3	Dickens Heath has attracted both criticism and praise in equal measure.	Osiris was said to have lived or reigned twenty-eight years.
common_voice_en_37402787.mp3	42fd73ed9709053f56bcdedf4df165450c52427090e2d2f350bc90ccefcb63600117a747aad42d210aae9fd0fa84120323bd24cfac889684521c28f8418ee553	generated_voice_en_37402787.mp3	Carlos Barbosa were the defending champions.	Pullulan is mainly used by the cell to resist desiccation and predation.
common_voice_en_37318416.mp3	44b9fad5303dc08293d2f6da6ef0995d8faa1d5a59aca7f83838879c486a1cf4433961edce099f75bcb490efc1cdb4bf75648c899d30bf6896710e80630d2ed0	generated_voice_en_37318416.mp3	"The word was believed to be Koori for ""Rainbow""."	I never wanted texture to be texture, or images to become shapes.
common_voice_en_37405855.mp3	44fc22be52d1a793c231131bbb12ce7a0e7b575d448235b03b17483a5ed5903eecadfa9eb8fe093fd0f79a7f2829c2980ec4cfb7ab3bb8aa5566d1bcdc53ef56	generated_voice_en_37405855.mp3	He operated two stores in Salina.	The conical shape and small mouth allowed the lid to be added.
common_voice_en_37464867.mp3	453cd5284533e11157db489322a8b2f65d9f39904658bb164c0d2b4ee405ae19643aecda138dc57262c265f1aad6e9b4947f41e22d11e1674692b4c346704565	generated_voice_en_37464867.mp3	When she was unable to sing because of her illness, she played the violin.	Mainly the Open and Veteran category are played.
common_voice_en_37323811.mp3	478c5b21a7b825aacf939c2246dbe3c86c42e5ebe0ab20c724d2bbe649a61991537b2c51557d09267d6dc1ddb521721cb9459dc703575dbc59d825cb082ebb95	generated_voice_en_37323811.mp3	Anderson played football at New Madrid County Central High School.	Doctors recommend the draught as a remedy for nervous disorders.
common_voice_en_37684675.mp3	48c0db85815e22917d57df723c6892f0ac02b04d04753dfbf155b18fc803f427643482137f444661afdeffa4990a2fd2854b14711707ad427197ab03c4fa2137	generated_voice_en_37684675.mp3	"Sometimes ""dog Latin"" can mean a poor-quality attempt at writing genuine Latin."	Australian rock band Grinspoon are named after him.
common_voice_en_37406712.mp3	49518b0d6dc530fcb03351c761b8b69aba18a29400ec4510ccfc214f1905114cc6fb992128c51bbba73e54db9cb9e534446ebc5f27748ea922d1913e0635ac2e	generated_voice_en_37406712.mp3	Tulsita is served by the Pettus Independent School District.	Advertising in newspapers and magazines has also become popular.
common_voice_en_37469227.mp3	4c02e90bcd2496709ef88d7b3fa231763e33e00a9ee37504b940530ced8e3e852259137044fcce5886496597689c70ee075bdeac24e0f9ce935b9dfb1a6104c3	generated_voice_en_37469227.mp3	In the series' final issue, the dark double killed the original, gaining autonomy.	Wickles Pickles is based in Dadeville.
common_voice_en_37670158.mp3	4d4909259f819ab0bce15913e04ca6952355bce0031e32a5645a616b3c855e18dbc0041f0890a60a9c17f6446524395479e71519a9fd688dd3166d9457804d99	generated_voice_en_37670158.mp3	Marathi is the most common language spoken here.	All five ships were then blockaded into the port by the French Navy squadron.
common_voice_en_37513347.mp3	4ee41c6077a282ce09bd062153280eb9ca6696b54983b8607b95252a1759f3b93cb83b8195af508ba38b73ee7794c446ec9e75a6f66fb17aba14da365474b074	generated_voice_en_37513347.mp3	He opened both eyes, looked at the rope, and grinned.	However, the territory was ruled by French commissioners.
common_voice_en_37968353.mp3	4ff3e527454233540c0e1bd36a08a43adc4948384aaf3d9284a7184a76fa107091d2094a83b5f93b1f2985d411e1b2df27f1b61c8882ced077683621c06be2a2	generated_voice_en_37968353.mp3	She also has written some lyrics for her mother Seiko Matsuda's songs.	The Trident Business and Technology Centre in Warwick is a relatively new building.
common_voice_en_37655987.mp3	52c6f75efd08d032de43934e9a7eac91d8340c75e77d8b41ae8cea08b8d5c5cd06c24dc756ce8aa6f5b5b7c3f0e29d69fec9fa6b2191de4b4a1b85fc1bcfab99	generated_voice_en_37655987.mp3	"Its title is derived from Metallica's debut album, ""Kill 'Em All""."	"He is known for hosting ""Canadian Idol""."
common_voice_en_37357034.mp3	531e3d578098cd898e57f99af520a16d1710cd4d2e39c0ff7d11162a6d875965ae0b94d580dd919944c8b5fb857eb76af784766de07b642beb1ef836bc0385e3	generated_voice_en_37357034.mp3	Michelson has had interest in languages and syntax both for computers and spoken communication.	The challenges for global payments are not simply those resulting from volume increases.
common_voice_en_37937553.mp3	533cd9a7f8448dbc92421e113783f70a412a8f8361ff2af16434e0b3cfe7cf01148decf9129ffa26dd77c65d058581db03bf41dbf2700c2ac6ecda5febe599fe	generated_voice_en_37937553.mp3	The front sight is winged and incorporates a bayonet lug.	Eventually Munro's successor, William Shiels, agreed to recall him from London.
common_voice_en_37568539.mp3	536c5f522c97e82fb09e605449146fc5233addd75b2bebf3703c67c78dea3bcf902d56e17253b917c749c0f6d8377e85cf45a85fb21f13e833902d323e09ec36	generated_voice_en_37568539.mp3	Pubs filled up with people sitting out the delays.	Today, it remains swamped, broken, and off-limits, adjoining a fishing pier.
common_voice_en_37931440.mp3	55f6bb20a0c69ca6af9d4381b7e3d1229bc7ae0d8c7c359c8541d9d38f50e265ed8d1c34a745b6c86127adf875577b18c41d79e2c8508703e538990abfb19acc	generated_voice_en_37931440.mp3	The parallels to the French Resistance and the Nazi occupation are clear, however.	This decision was criticized by internet watch groups for being an extremely selfish act.
common_voice_en_37431315.mp3	568e9875da0e36a3b97ea5ffe12aa88ba6f7f45ac4c92c675856d51159132aba9fdec879e054d62b7d16c5ce8213374b7ed297edc2776d41d311c5532ad2cce8	generated_voice_en_37431315.mp3	Fossils from at least seven other potential species have also been discovered.	He was replaced with Melinda Kane.
common_voice_en_37451535.mp3	5939a6511ed81b062af2990c874bec28e679a3cb35994f3cb0d419c8f8ea29e8ce08e2f11e103f5ba59158c3ff56285d1933ce3d760c5013cf36a8e212ba1d65	generated_voice_en_37451535.mp3	Many restaurants and nightclubs offer live entertainment on the weekends.	At the time it was thought that infectious diseases could not cause an extinction.
common_voice_en_37615196.mp3	59d6dee39463007eccb052e36242eda1208e1d6526fffe96ecf3677524e5a6cbeae3d676bcd7ee747d796d6a4fef815e8f6e48df8cf5f163c7b25c39a45d4e0e	generated_voice_en_37615196.mp3	I think heroes should be flawed.	Woodley attended Simi Valley High School and modeled at the age of four.
common_voice_en_37627009.mp3	5a9f85f86b38326145c24682f1eb502d921a9aae09c00764b78880a5928b3b4b9a42a1e90c9e03b1a3f936027887ebdd0d4282fafc8b659742ef40f33d5ab16d	generated_voice_en_37627009.mp3	"Indeed, ""Berlin work"" became practically synonymous with ""canvas work""."	Another mosquito can then feed on the snake, thus continuing the lifecycle.
common_voice_en_37850176.mp3	5d4ce133dec30082b30a83d744f28c20d46c68cc810baae8893ec5e080414e38668ff6eafc1415223cdb227a739b62e606a583f260ba03e48ee5bb4c8bb7f00f	generated_voice_en_37850176.mp3	The original campus was located in Caine Road, Mid-Levels, Hong Kong.	It was staged at the Drury Lane Theatre in London.
common_voice_en_37800525.mp3	5e21df07e96c79fbb65796dc5525dca3e6d171eaa1a7f9312e041115a136d47bedc828542d466d888e280e7a9ad924e430891cf0f362868948ac66f615412891	generated_voice_en_37800525.mp3	Most of Bosquet's best sellers were published by Covered Bridge Press.	It is today traditionally served with spring pancakes, spring onions and sweet bean sauce.
common_voice_en_37787708.mp3	5f16d2c3e2fa3bf3d38a0bae0a97497591789e8369862c6e26e164ab758cd389eb3a89af6b3bc32e3c19fe317720cb0e2ad2756ba432eb3335678ba589c9695e	generated_voice_en_37787708.mp3	"In Amusement Today's annual Golden Ticket Awards, ""Kumba"" has consistently ranked highly."	Typically it is combined with nuts, caramel, or chocolate.
common_voice_en_37832482.mp3	5f511268a26695b98c23058a3b0d36621ccc4a4c170772d336d0ea007341ed81301aaabd86849b0b0cda614b97239d29542aa77d0647cc138eaa1ed77c88a978	generated_voice_en_37832482.mp3	Aubameyang was named man of the match.	It is also shown that they're both lovers.
common_voice_en_37285575.mp3	6025bbefc87c563d4b5d5cb65a6d0e989ebc4f08565313af4ca9f56c971721fe617e0ee51a29e520639baf03a6582eea4bf115d2c9dd2af66bbc9230e80afd61	generated_voice_en_37285575.mp3	He proved to be effective, but injury prone, in his years with Detroit.	For further discussion, see figurae.
common_voice_en_37464167.mp3	60a954f712c134f10090763d33ad1001d664363cbe1013d1a9214b06f52fb9c9d79eeba52455d007b82feaf56a326c7d53b1b9dc3fb24bbe47a009e2d7dc3de1	generated_voice_en_37464167.mp3	This piece was accorded such a warm reception that it played for seventy-five performances.	The ships displaced as designed and up to at full combat load.
common_voice_en_37527521.mp3	617541425728868b0f89e5592104ab8ecf61620d563c28102d7ef74b3c3c88c636267f40d3d1694bf85220831b018d0799bf08ec2457fad823f41bb1f4b0ce60	generated_voice_en_37527521.mp3	IndieGames dot com is Gamasutra's sister site dedicated to reporting on indie games.	The construction is of simple welded stamped sheet steel.
common_voice_en_37793726.mp3	65351df4d0acb199b7fa208cb7451b9340d7686609ba78686514202a77a9c52183923307d73d292e74e815a430b333ca4f08a399c9380fdfdcdf8c8ad937f0ff	generated_voice_en_37793726.mp3	He had suffered a significant stroke.	Born in London, England, Leacock spent his childhood in the Canary Islands.
common_voice_en_37523516.mp3	655918613c6ee5e4c5b9d55498da1bcccd44e173ddce97d2f8f08f5739fc05c8143469680378555b8f972c0796739e6edb2cad5e7d72c41efa1cc0c577748b27	generated_voice_en_37523516.mp3	"She starred alongside the American actor Hartley Power in ""Lady Behave""."	He died in Cannes, France.
common_voice_en_37431041.mp3	669d5810c27062a1d2c8aa2481c6511ca3e8376f2c9b957c22904548932abb221563034a2db701c6c915f437e9b40562df621ff5a644635926b08887d1849e2e	generated_voice_en_37431041.mp3	Floreale and Farrington began to write songs together.	Its original headquarters in Newark were located on Market Street.
common_voice_en_37482660.mp3	686442828522f038bed81372bbc9ed9566582df370f8ff75ea1c4e3f7d10e18b8c8f26a1178f1541ed5663ecba684c002e8535b38e6e39a0124c17fc867a4900	generated_voice_en_37482660.mp3	This allowed for what today is known as multimedia experiences.	Each section is led by a Head of Section.
common_voice_en_37404927.mp3	68961ff355a5a21c372fd9111970b137e6b3683196e89685eb94fb3d38582891b903ebd63524d6323491d12d1ad30f0e6ceb046c5f058b9fa4ff200a6d0658ac	generated_voice_en_37404927.mp3	Jan-Eirik Nilsskog was the main engineer that built the bridge.	He is also a handwriting analyst.
common_voice_en_37805700.mp3	68caafdf147c42aa78002abb9c2ac5b61f36b8c8ec4773aea7f74ef7e703458d18f483b9a6d8ece6fa16789d838b6b9affc9a0ae2b79cbf83d3cd50fc2ee58d2	generated_voice_en_37805700.mp3	He worked in financial institutions and banking in New Jersey.	Standardized testing is controversial in general, and Alberta is not an exception.
common_voice_en_37290997.mp3	68df3c2c6ba5739d75e266c8904cc6e3731b958641382d23579dc7ffb36f086d9b9811efc4b32a611a6264b7a4d3eb546232a1d918128bb2ac297acb59c56c63	generated_voice_en_37290997.mp3	He refused to work on Sundays.	He has two sisters, Krista and Katie.
common_voice_en_37396863.mp3	6991abc31cd59ab36812a9d13593ebfbd7a2280abe4f46f59bfb1c48b34e4b21cc3259c397cf472436fd67bd589e8fbab7edd7deb087c825a32b61289cae17c8	generated_voice_en_37396863.mp3	"He also wrote for ""Vanity Fair""."	The flag shall be edged with yellow fringe.
common_voice_en_37405615.mp3	69b04d7c965abe82e6eec0916a8d8f893f376098d2045fda5baf92811d2c3bb89cb906fb203ec25d1da7248acee02e43d5eaa991e3a55d28c6793341dbd22296	generated_voice_en_37405615.mp3	Robert H. Clement.	He was a practicing Muslim.
common_voice_en_37398082.mp3	6bcb764f3d71d46daef122e0d61c1522c6558e26aa342118b55eb93d86caaa980c61cb96613935d6bdf646c5b45ebae616815ffe5954b261491cabe5eae4032c	generated_voice_en_37398082.mp3	The episode falsely implies that Colt gave Cody his nickname of Buffalo Bill.	In more recent years, the orchestra has recorded for the Glossa label.
common_voice_en_37984758.mp3	6f96c34a253e269a77e035880a77cbae4a24b109a68d092df4ae32555efa8fec094611306275debb641fe17ca5106f7e8626a68136338b1200a3a743690e0a09	generated_voice_en_37984758.mp3	Porcelain and stoneware are ideal for displaying the surface patterns obtained through saggar firing.	This decision left the ban against teaching evolution in effect.
common_voice_en_37781166.mp3	73f8387bcf60743c03552dc9dbb850d216a9cd00f8faf3b8dc6427110adcaae95e2ce2fcc9efa67b040b8cd7b5a7416df22ba23708d4a3a0fac743b8cab7fba1	generated_voice_en_37781166.mp3	The site was created in six hours.	Two caves may also be found within the surrounding cliffs.
common_voice_en_37475407.mp3	740d51bc6270fdb317d09ca3c29f1a11181c7b690a22751b9b62477290d8b0f1bc3ee7d92cf1eaef0a2d0157729d1d5ca85a4f8bf4c62828f04f145376c5d627	generated_voice_en_37475407.mp3	Participants at a key signing party are expected to present adequate identity documents.	The site was created in six hours.
